State,suicideRate,suicideNumber
Wyoming,29.3,170
Alaska,28.5,210
Montana,26.2,289
New Mexico,24,513
Colorado,22.1,1312
Utah,21.2,654
South Dakota,20.9,182
Oklahoma,20.5,816
Idaho,20.4,365
Oregon,20.4,906
Nevada,19.8,642
Maine,19.4,276
Arizona,18.7,1419
West Virginia,18.5,330
Kansas,18.2,523
Missouri,18.2,1141
North Dakota,18.1,136
Arkansas,18,548
New Hampshire,17.5,255
Tennessee,17.2,1219
Iowa,16.7,528
Kentucky,16.5,756
Alabama,16.3,804
South Carolina,16.2,852
Nebraska,16.1,309
Vermont,16,110
Washington,15.9,1263
Hawaii,15.5,224
Ohio,15.1,1806
Louisiana,15,704
Georgia,14.6,1585
Florida,14.5,3465
Minnesota,14.4,830
Mississippi,14.4,436
Michigan,14.3,1472
Indiana,14.2,972
Pennsylvania,14.1,1896
Wisconsin,14,845
Texas,13.4,3891
Virginia,12.8,1140
North Carolina,12.5,1358
Connecticut,11.4,435
Delaware,11.3,111
Illinois,10.9,1439
California,10.7,4436
Rhode Island,10.7,123
Maryland,10.3,657
Massachusetts,8.7,647
New York,8.3,1705
New Jersey,8,762
